2936575,2016-02-01,2016-02-29
2939238,2016-02-06,2016-02-10
2936667,2016-01-31,2016-01-31
2936668,2016-02-01,2016-02-29
2936602,2016-01-26,2016-01-28
2932514,2016-02-01,2016-02-29
2873687,2015-12-01,2015-12-31
2939702,2016-02-01,2016-02-29
2934738,2016-02-01,2016-02-05
2938604,2016-04-01,2016-06-30
2940631,2016-01-01,2016-01-31
2936680,2016-02-01,2016-02-05
2940121,2016-10-01,2016-12-31
2941049,2016-01-30,2016-02-02
2934773,2016-01-26,2016-01-30
2934786,2016-01-26,2016-01-30
2935723,2016-01-20,2016-01-22
2936656,2016-02-01,2016-02-05
2936662,2016-02-01,2016-02-05
2936663,2016-02-01,2016-02-05
2936676,2016-02-01,2016-02-05
2936677,2016-02-01,2016-02-05
2938088,2016-01-31,2016-01-31
2941145,2016-04-01,2016-04-30
2941154,2016-04-01,2016-04-30
2880277,2016-01-01,2016-01-31
2872097,2016-01-01,2016-12-31
2932680,2016-01-25,2016-01-25
2934761,2016-01-23,2016-01-23
2934816,2016-01-26,2016-01-28
2934817,2016-01-26,2016-01-28
2935000,2016-02-01,2016-02-05
2936516,2016-02-01,2016-02-05
2936603,2016-01-29,2016-01-30
2936604,2016-01-28,2016-01-28
2938086,2016-01-29,2016-01-29
2938087,2016-02-01,2016-02-04
2939711,2016-02-01,2016-02-29
2932568,2016-07-01,2016-07-31
2932568,2016-07-01,2016-07-31
2932662,2016-04-01,2016-04-30
2932662,2016-04-01,2016-04-30
2932664,2016-05-01,2016-05-31
2932664,2016-05-01,2016-05-31
2932667,2016-06-01,2016-06-30
2932667,2016-06-01,2016-06-30
2934740,2016-01-26,2016-01-30
2936658,2016-02-01,2016-02-05
2934990,2016-03-01,2016-03-31
2935001,2016-02-01,2016-02-05
2929122,2016-01-15,2016-01-31
2942638,2016-02-01,2016-02-29
2872102,2016-01-01,2016-01-31
2931875,2016-02-01,2016-02-29
2928950,2016-02-01,2016-02-29
2930633,2016-02-01,2016-02-29
2930638,2016-05-01,2016-05-31
2936666,2016-01-01,2016-01-31
2940534,2016-03-01,2016-03-31
2922296,2016-03-01,2016-12-31
2922296,2016-03-01,2016-12-31
2906342,2016-04-01,2016-04-30
2942701,2016-08-01,2016-08-31
2932639,2016-02-01,2016-02-29
2934435,2016-02-01,2016-02-29
2940193,2016-02-01,2016-02-29
2940195,2016-02-01,2016-02-29
2934934,2015-12-01,2015-12-31
2934934,2015-12-01,2015-12-31
2891551,2016-01-01,2016-03-31
2929226,2016-01-18,2016-01-22
2937121,2016-02-01,2016-02-29
2932550,2016-07-01,2016-07-31
2932558,2016-07-01,2016-07-31
2939672,2016-02-01,2016-02-29
2933322,2016-02-01,2016-02-29
2930665,2016-02-01,2016-02-29
2939671,2016-02-01,2016-02-29
2939673,2016-02-01,2016-02-29
2930615,2016-01-01,2016-01-31
2940820,2016-02-06,2016-02-10
2938902,2016-02-15,2016-02-29
2938902,2016-02-15,2016-02-29
2940885,2016-03-01,2016-03-31
2930647,2016-02-01,2016-02-28
2934733,2016-01-21,2016-01-24
2928917,2016-01-16,2016-01-18
2941059,2016-03-01,2016-03-31
2930064,2016-01-26,2016-01-30
2930081,2016-01-26,2016-01-30
2934739,2016-02-01,2016-02-05
2934815,2016-02-01,2016-02-05
2934942,2016-02-06,2016-02-10
2938079,2016-02-11,2016-02-16
2939437,2016-02-06,2016-02-10
2928289,2016-01-21,2016-02-11
2940951,2016-02-01,2016-02-29
2929923,2016-01-31,2016-01-31
2936679,2016-02-01,2016-02-05
2940905,2016-01-31,2016-02-01
2930016,2016-02-01,2016-02-29
2941056,2016-02-01,2016-02-29
2930372,2016-02-01,2016-02-29
2934949,2016-02-01,2016-02-05
2935009,2016-03-01,2016-03-31
2934762,2016-02-01,2016-02-25
2940892,2016-02-06,2016-02-10
2934046,2016-01-20,2016-02-19
2934067,2016-01-20,2016-02-19
2934290,2016-01-31,2016-02-04
2934295,2016-01-31,2016-02-04
2934296,2016-01-31,2016-02-04
2934257,2016-01-25,2016-01-29
2936412,2016-01-26,2016-01-30
2934289,2016-01-28,2016-02-01
2934293,2016-01-28,2016-02-01
2934294,2016-01-31,2016-02-04
2936678,2016-02-01,2016-02-05
2939654,2016-02-01,2016-02-29
2939655,2016-02-01,2016-02-29
2928960,2016-01-21,2016-01-25
2930073,2016-01-26,2016-01-30
2935074,2016-02-29,2016-02-29
2939203,2016-02-01,2016-02-29
2932621,2016-01-26,2016-01-30
2932622,2016-02-01,2016-02-05
2930074,2016-01-26,2016-01-30
2936595,2016-02-01,2016-02-05
2938077,2016-02-11,2016-02-16
2939241,2016-02-01,2016-02-05
2927519,2016-01-18,2016-01-23
2938190,2016-01-22,2016-01-28
2939202,2016-02-01,2016-02-29
2938488,2016-02-01,2016-02-29
2934117,2016-01-27,2016-02-17
2934443,2016-02-01,2016-02-29
2934446,2016-03-01,2016-03-31
2936600,2016-02-01,2016-02-29
2938169,2016-03-01,2016-03-31
2938216,2016-03-01,2016-03-31
2938234,2016-03-01,2016-03-31
2940916,2016-03-01,2016-03-31
2932566,2016-01-26,2016-01-30
2938180,2016-03-01,2016-03-31
2930646,2016-02-01,2016-02-29
2936519,2016-02-01,2016-02-29
2936566,2016-03-01,2016-03-31
2936578,2016-03-01,2016-03-31
2928922,2016-01-14,2016-01-16
2935002,2016-02-01,2016-02-29
2872105,2016-01-01,2016-01-31
2936607,2016-01-01,2016-01-31
2931036,2016-02-01,2016-02-29
2936659,2016-02-06,2016-02-10
2880276,2016-01-01,2016-01-31
2932686,2016-02-01,2016-02-25
2939243,2016-02-01,2016-02-05
2940679,2016-02-01,2016-02-05
2928935,2016-02-01,2016-02-29
2928949,2016-02-01,2016-02-29
2938166,2016-02-01,2016-02-29
2934956,2016-02-01,2016-02-29
2932685,2016-01-24,2016-01-28
2940891,2016-02-07,2016-02-08
2941050,2016-02-07,2016-02-08
2941128,2016-02-01,2016-02-29
2941055,2016-02-01,2016-02-05
2928265,2016-01-01,2016-01-31
2936405,2016-01-26,2016-01-30
2939462,2016-01-29,2016-02-02
2940655,2016-01-30,2016-02-03
2928909,2016-01-24,2016-01-31
2934734,2016-01-26,2016-01-30
2928908,2016-01-01,2016-01-31
2906181,2016-01-18,2016-02-18
2938867,2016-04-01,2016-04-30
2938826,2016-04-01,2016-06-30
2939201,2016-02-01,2016-02-29
2932683,2016-01-21,2016-01-24
2932684,2016-01-26,2016-01-28
2938089,2016-10-01,2016-12-31
2938048,2016-01-01,2016-01-31
2940893,2016-02-06,2016-02-10
2941102,2016-03-01,2016-03-31
2939028,2016-02-01,2016-02-29
2939242,2016-02-01,2016-02-05
2936534,2016-04-01,2016-06-30
2936543,2016-04-01,2016-06-30
2929514,2016-02-01,2016-03-31
2936562,2016-02-01,2016-02-05
2935004,2016-03-01,2016-03-31
2936288,2016-02-01,2016-02-05
2932679,2016-02-01,2016-02-05
2931050,2016-02-01,2016-02-29
2937473,2016-02-01,2016-02-29
2940765,2016-02-11,2016-02-16
2928934,2016-02-01,2016-02-29
2936596,2016-02-01,2016-02-05
2938164,2016-02-01,2016-02-05
2939372,2016-01-26,2016-01-30
2939380,2016-02-01,2016-02-05
2939381,2016-02-01,2016-02-05
2932549,2016-01-26,2016-01-30
2938170,2016-01-01,2016-01-31
2939328,2016-02-01,2016-02-05
2842489,2016-01-26,2016-03-31
2933905,2016-02-15,2016-02-24
2941108,2016-03-13,2016-03-25
2930082,2016-01-20,2016-01-23
2938165,2016-02-01,2016-02-29
2934730,2016-04-01,2016-06-30
2939275,2016-02-01,2016-02-29
2939276,2016-03-01,2016-03-31
2934240,2016-01-21,2016-01-25
2937472,2016-01-01,2016-01-31
2940515,2016-01-01,2016-01-31
2817158,2015-10-01,2015-12-31
2817158,2015-10-01,2015-12-31
2934989,2016-02-01,2016-02-29
2935003,2016-02-01,2016-02-29
2940954,2016-02-01,2016-02-05
2927137,2016-01-20,2016-01-24
2934943,2016-01-23,2016-01-25
2936675,2016-01-28,2016-01-31
2940882,2016-10-01,2016-12-31
2936719,2016-01-01,2016-01-31
2927056,2016-01-26,2016-01-30
2930748,2016-02-01,2016-02-28
2938189,2016-02-01,2016-02-29
2930726,2016-02-01,2016-02-29
2930729,2016-02-01,2016-02-29
2930734,2016-02-01,2016-02-29
2930737,2016-02-01,2016-02-29
2934793,2016-02-02,2016-02-06
2934796,2016-02-08,2016-02-10
2934799,2016-02-12,2016-02-14
2939710,2016-02-01,2016-02-29
2939371,2016-03-26,2016-03-31
2928953,2016-01-21,2016-01-25
2930063,2016-01-26,2016-01-30
2932325,2016-01-26,2016-01-30
2934948,2016-02-01,2016-02-05
2939436,2016-02-06,2016-02-10
2939438,2016-02-01,2016-02-05
2940906,2016-02-01,2016-02-05
2936593,2016-02-01,2016-02-05
2936594,2016-02-01,2016-02-05
2937350,2016-02-01,2016-02-05
2938076,2016-02-11,2016-02-16
2932515,2016-03-01,2016-03-31
2939282,2016-02-01,2016-02-29
2938186,2016-02-01,2016-02-29
2939269,2016-03-01,2016-03-31
2939367,2016-02-01,2016-02-05
2940895,2016-03-01,2016-03-31
2934457,2016-02-01,2016-02-29
2934462,2016-03-01,2016-03-31
2936616,2016-03-01,2016-03-31
2939265,2016-03-01,2016-03-31
2940884,2016-03-01,2016-03-31
2934378,2016-02-01,2016-02-29
2938626,2016-02-01,2016-02-05
2939244,2016-02-01,2016-02-05
2940313,2016-01-26,2016-01-31
2931074,2016-03-01,2016-03-31
2935845,2016-04-01,2016-04-30
2929228,2016-02-01,2016-03-31
2929892,2016-01-15,2016-01-29
2928660,2016-02-01,2016-02-29
2934959,2016-01-26,2016-01-30
2790820,2016-01-01,2015-12-31
2936657,2016-02-01,2016-02-05
2940953,2016-02-01,2016-02-05
2939193,2016-02-01,2016-02-05
2928148,2016-01-21,2016-01-25
2928149,2016-01-26,2016-01-30
2931162,2016-01-01,2016-01-31
2931162,2016-01-01,2016-01-31
2936609,2016-02-01,2016-02-29
2937644,2016-03-01,2016-03-31
2942126,2016-03-01,2016-09-30
2938208,2016-02-01,2016-02-05
2932488,2016-02-01,2016-02-29
2938185,2016-04-01,2016-06-30
2940160,2016-06-01,2016-08-31
2928873,2016-01-26,2016-01-30
2941047,2016-02-06,2016-02-10
2941048,2016-02-06,2016-02-10
2928310,2016-01-20,2016-01-30
2934760,2016-04-10,2016-08-31
2938078,2016-02-11,2016-02-16
2930071,2016-01-26,2016-01-30
2930072,2016-01-26,2016-01-30
2930075,2016-01-26,2016-01-30
2936655,2016-02-01,2016-02-05
2938075,2016-02-01,2016-02-05
2934764,2016-02-01,2016-02-05
2928887,2016-01-21,2016-01-25
2934735,2016-02-01,2016-02-05
2934736,2016-02-01,2016-02-05
2934947,2016-02-01,2016-02-05
2936653,2016-02-01,2016-02-05
2936654,2016-02-01,2016-02-05
2936615,2016-03-01,2016-03-31
2939239,2016-02-06,2016-02-10
2934737,2016-01-26,2016-01-30
2939670,2016-02-01,2016-02-29
2939608,2016-02-05,2016-02-09
2934998,2016-03-01,2016-03-31
2934988,2016-02-01,2016-02-29
2934991,2016-02-01,2016-02-29
2856586,2015-12-01,2015-12-31
2856586,2015-12-01,2015-12-31
2856586,2015-12-01,2015-12-31
2856586,2015-12-01,2015-12-31
2936601,2016-02-01,2016-02-29
2940991,2016-03-01,2016-03-31
2928918,2016-01-23,2016-01-27
2934944,2016-01-23,2016-01-25
2934933,2016-02-01,2016-02-29
2938072,2016-01-01,2016-01-31
2932676,2016-04-01,2016-04-01
2932625,2016-01-26,2016-01-31
2880267,2016-03-01,2016-03-31
2933981,2016-03-01,2016-03-31
2938605,2016-04-01,2016-06-30
2930065,2016-01-26,2016-01-30
2932326,2016-01-26,2016-01-30
2934999,2016-02-01,2016-02-05
2918517,2016-01-26,2016-01-30
2857750,2016-01-01,2016-03-31
2939463,2016-01-29,2016-02-02
2939464,2016-01-29,2016-02-02
2939607,2016-02-01,2016-02-05
2929825,2016-01-22,2016-02-12
2934774,2016-01-26,2016-01-30
2939370,2016-03-26,2016-03-31
2939433,2016-02-01,2016-02-29
2932628,2016-02-01,2016-02-05
2932629,2016-02-06,2016-02-10
2932630,2016-02-11,2016-02-16
2932631,2016-02-16,2016-02-20
2932632,2016-02-21,2016-02-25
2932633,2016-02-26,2016-02-28
2932681,2016-01-31,2016-01-31
2939240,2016-02-10,2016-02-29
2940883,2016-02-26,2016-02-28
